buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"238","1108246686",P,13.1,"4","2043",840485.052,819479.678
"239","1108246780",P,12.8,"4","5717",840482.842,819269.318
"240","1108246806",P,14.8,"4","3401",841127.834,819224.903
"241","1108246820",P,17.6,"5","4583",841103.262,819229.193
"242","1108246821",P,6.0,"2","3492",841157.266,819190.472
"243","1108246770",P,10.6,"3","2605",840746.495,819288.215
"244","1108246824",P,18.4,"6","2331",840688.459,819205.142
"245","1108246809",P,13.6,"4","3538",840825.320,819210.604
"246","1108246805",P,13.7,"4","3588",840811.888,819223.869
"247","1108240074",T,46.3,"15","13408",840948.628,819047.048
"248","1108246937",P,14.6,"4","4571",841019.213,818965.454
"249","1108246930",P,4.8,"1","1088",841005.670,818981.576
"250","1108246921",P,14.8,"4","3526",840874.457,818986.702
"251","1108246922",P,15.6,"5","5263",840988.618,819002.949
"252","1108246888",P,14.7,"4","2162",840904.165,819076.539
"253","1108246942",P,14.6,"4","9904",840943.889,818909.086
