buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"127","1108246773",P,13.9,"4","1954",840677.292,819304.566
"128","1108246807",P,13.1,"4","1448",840602.406,819243.997
"129","1108246831",P,4.0,"1","903",840717.804,819198.714
"130","1108246774",P,14.9,"4","2900",841146.789,819304.586
"131","1108246907",P,13.1,"4","6897",841611.422,819028.647
"132","1108246604",P,15.5,"5","1654",840313.667,819621.060
"133","1109261298",T,83.3,"27","13048",840754.879,819296.868
"134","1810104342",T,115.7,"38","17487",840785.122,819274.095
"135","1108239105",T,27.4,"9","6463",840774.199,819292.630
"136","1108239228",T,34.3,"11","13475",840805.663,819256.818
"137","1109609128",T,42.7,"14","15274",840819.034,819082.732
"138","1108239118",T,36.3,"12","4446",840548.377,819297.417
"139","1810106833",T,83.3,"27","25744",840473.178,819299.895
"140","1108239689",T,29.2,"9","17324",840610.523,819140.662
"141","1108240013",T,41.3,"13","14903",840692.504,819046.563
"142","1108240130",T,37.4,"12","11876",840957.614,819003.822
"144","1108240701",T,44.8,"14","990",841236.977,818778.212
"145","1810099791",T,110.0,"36","18286",841252.522,818784.836
"146","1810099792",P,14.0,"4","3571",841249.991,818787.378
"148","1108239795",T,49.0,"16","20049",840642.719,819112.127
"149","1810088721",T,114.3,"38","31091",841187.321,819299.585
"150","1108239560",T,94.3,"31","36628",841293.157,819185.972
"151","1810070461",P,14.7,"4","12485",840442.159,819338.704
"156","1108240513",T,81.2,"27","14959",841115.872,818824.852
"157","1108239587",T,46.6,"15","13974",841066.479,819177.421
"158","1108238075",T,42.6,"14","11787",840424.590,819493.622
"159","1108238747",T,30.0,"10","13869",841044.625,819352.568
"160","1108238727",T,30.1,"10","3773",840471.977,819371.662
"161","1108238734",T,46.2,"15","7328",840553.725,819366.662
"162","1108238693",T,46.0,"15","5621",840461.006,819382.485
"163","1108238793",T,33.8,"11","5420",840564.258,819356.351
"164","1108239000",T,44.4,"14","10342",840532.012,819313.415
"165","1108239157",T,46.7,"15","5454",840559.216,819286.835
"166","1108239280",T,20.8,"6","2214",840591.843,819254.964
"167","1108239598",T,6.4,"2","283",841322.748,819191.412
"168","1108239590",T,46.0,"15","14013",840733.827,819180.365
"169","1108238679",T,29.8,"9","10403",840751.831,819376.012
"170","1109609281",T,31.6,"10","18709",840952.765,819374.938
"171","1108236886",T,42.6,"14","8592",840229.998,819703.927
"172","1108236794",T,30.5,"10","3305",840210.033,819722.663
"173","1108246854",P,17.4,"5","4655",841025.450,819143.293
"174","1108246851",P,15.3,"5","4660",841039.172,819154.666
"175","1108246872",P,16.3,"5","9292",840963.829,819092.214
"176","1108237585",T,29.2,"9","2941",840326.642,819608.387
"177","1108246584",P,13.8,"4","2514",840356.231,819637.536
"178","1108236814",T,39.5,"13","3183",840260.300,819721.343
"179","1108236913",T,24.6,"8","2446",840272.081,819707.360
"180","1108237147",T,29.8,"9","3529",840312.733,819670.991
"182","1108246477",P,13.0,"4","3487",840215.744,819767.851
"183","1108246554",P,14.0,"4","1383",840298.931,819682.883
"184","1108246502",P,13.0,"4","2709",840239.956,819740.247
"185","1108246544",P,15.5,"5","1588",840285.400,819694.961
"186","1108246600",P,21.3,"7","10811",840392.454,819613.409
"187","1108246570",P,14.8,"4","3949",840334.755,819653.479
"188","1108246589",P,14.7,"4","2950",840371.310,819627.069
"189","1810133742",T,110.8,"36","38331",841312.328,819042.346
"190","1810137344",T,140.7,"46","78670",840994.291,819125.150
"191","1810138526",T,117.2,"39","36262",840710.339,819421.554
"192","1108240211",T,42.4,"14","12733",841176.463,818969.576
"193","1108236345",T,4.5,"1","181",840193.637,819789.997
"194","1108239761",T,29.8,"9","4652",840692.551,819135.252
"195","1108239995",T,44.3,"14","7733",840750.419,819064.051
"196","1108240276",T,4.0,"1","81",841055.610,818960.335
"197","1108240289",T,73.5,"24","21194",841089.089,818936.810
"198","1108241248",T,10.4,"3","1875",840957.508,818652.906
"199","1108246669",P,15.0,"5","9934",840714.035,819491.514
"200","1108246676",P,13.9,"4","2853",840620.639,819484.743
"201","1108246751",P,6.2,"2","2918",840646.464,819335.450
"202","1108246759",P,13.7,"4","1948",840595.534,819325.635
"203","1108246785",P,15.0,"5","3938",840641.747,819281.622
"204","1810083179",P,14.4,"4","6803",841284.460,818816.010
"205","1810090509",P,14.9,"4","5310",840613.733,819364.775
"206","1810106828",P,12.9,"4","5454",840477.307,819304.790
