originid,destinationid,distance,duration
12,43,2282,1644
12,44,1705,1356
12,45,2219,1673
12,46,0,0
12,47,3233,2608
12,48,2219,1673
12,49,0,0
12,51,2432,1774
12,52,1373,1022
12,53,0,0
12,54,1537,1214
12,55,2597,1873
12,56,2162,1767
12,57,2287,1904
12,58,1837,1539
12,59,2262,1779
12,60,1714,1238
12,61,1801,1419
12,62,1705,1356
12,63,1677,1387
12,64,1550,1104
12,65,2930,2229
12,66,2597,1873
12,67,3165,2441
12,68,1105,763
12,69,1881,1363
12,70,1598,1255
12,71,0,0
12,72,1133,976
12,73,1507,1067
12,74,2210,1749
12,75,0,0
12,76,2219,1673
12,77,1509,1073
12,78,2098,1518
12,79,2335,1974
12,80,0,0
12,81,3126,2507
12,82,943,643
12,83,3165,2441
12,84,1507,1067
12,86,3534,2634
13,1,2249,1710
13,2,1906,1441
13,3,323,265
13,4,1966,1442
13,5,1783,1437
13,6,608,501
13,7,1514,1157
13,8,606,443
13,9,1001,845
13,10,1217,990
13,11,804,590
13,12,1298,1041
13,14,606,443
13,15,633,465
13,16,1217,990
13,17,1162,1004
13,18,1298,1041
13,19,3588,2779
13,20,845,621
13,21,3592,2705
13,22,1217,990
13,23,2040,1514
13,24,2949,2199
13,25,587,427
13,26,917,672
13,27,1818,1366
13,28,886,651
13,29,1021,854
13,30,1217,990
13,31,696,532
13,32,1217,990
13,33,1428,1097
13,34,1004,847
13,35,1373,1009
13,36,1413,1089
13,37,1548,1183
13,38,1397,1028
13,39,1021,854
13,40,1119,858
13,41,1548,1183
13,42,604,485
13,43,1695,1294
13,44,587,423
13,45,1217,990
13,46,1298,1041
13,47,1992,1596
13,48,1217,990
13,49,1298,1041
13,51,2140,1621
13,52,1801,1355
13,53,1298,1041
13,54,517,384
13,55,2089,1580
13,56,921,754
13,57,1021,854
13,58,594,482
13,59,1135,868
13,60,1537,1179
13,61,685,518
13,62,587,423
13,63,441,330
13,64,917,672
13,65,1917,1447
13,66,2089,1580
13,67,2066,1612
13,68,1373,1009
13,69,1417,1091
13,70,581,420
13,71,1298,1041
13,72,359,289
13,73,845,621
13,74,1154,898
13,75,1298,1041
13,76,1217,990
13,77,875,641
13,78,1669,1275
13,79,1092,917
13,80,1298,1041
13,81,1884,1494
13,82,1473,1081
13,83,2066,1612
13,84,845,621
13,86,2703,2019
14,1,1742,1321
14,2,1832,1399
14,3,439,366
14,4,1892,1400
14,5,2241,1801
14,6,349,318
14,7,1440,1115
14,8,0,0
14,9,630,575
14,10,710,601
14,11,730,548
14,12,1757,1405
14,13,606,476
14,15,446,317
14,16,710,601
14,17,1089,962
14,18,1757,1405
14,19,3081,2390
14,20,771,579
14,21,3085,2316
14,22,710,601
14,23,1967,1472
14,24,2442,1810
14,25,111,78
14,26,843,630
14,27,1744,1324
14,28,812,609
14,29,649,585
14,30,710,601
14,31,189,142
14,32,710,601
14,33,1354,1055
14,34,633,577
14,35,1299,967
14,36,1171,985
14,37,1474,1141
14,38,1323,986
14,39,649,585
14,40,612,468
14,41,1474,1141
14,42,933,757
14,43,1454,1190
14,44,117,84
14,45,710,601
14,46,1757,1405
14,47,1600,1308
14,48,710,601
14,49,1757,1405
14,51,1899,1517
14,52,1727,1313
14,53,1757,1405
14,54,259,175
14,55,1848,1476
14,56,529,467
14,57,649,585
14,58,258,238
14,59,628,479
14,60,1342,1111
14,61,178,129
14,62,117,84
14,63,188,155
14,64,843,630
14,65,1410,1057
14,66,1848,1476
14,67,1674,1325
14,68,1299,967
14,69,1175,987
14,70,471,342
14,71,1757,1405
14,72,688,561
14,73,771,579
14,74,646,508
14,75,1757,1405
14,76,710,601
14,77,801,599
14,78,1428,1171
14,79,721,648
14,80,1757,1405
14,81,1492,1206
14,82,1399,1039
14,83,1674,1325
14,84,771,579
14,86,2196,1630
15,1,1732,1472
15,2,1678,1307
15,3,567,547
15,4,1737,1307
15,5,2124,1723
15,6,657,627
15,7,1285,1022
15,8,446,404
15,9,993,925
15,10,734,687
15,11,576,455
