,frame,length,turning_smoothed,turning
1928,1928,,0.25217902195893277,0.2612756627815156
1929,1929,,0.2921610144279428,0.2967239605678514
1930,1930,,0.32858963266434654,0.3316286525458439
1931,1931,,0.36249587349433016,0.366165769643553
1932,1932,,0.39293879114352837,0.4013419254420147
1933,1933,,0.4206535399886823,0.4196662096802628
1934,1934,,0.44243010657176,0.4363639326545774
1935,1935,,0.4616367573086204,0.4539459036950705
1936,1936,,0.4756541116886723,0.4712180080779402
1937,1937,,0.48567497591103953,0.4888233856139668
1938,1938,,0.49139842550013213,0.4898771016249393
1939,1939,,0.49230323506047785,0.4886424026197263
1940,1940,,0.48915952404027613,0.4888822086387014
1941,1941,,0.4819372904786135,0.4887119968850464
1942,1942,,0.4692895632793767,0.471432306660776
1943,1943,,0.4535016767256569,0.4538624489831373
1944,1944,,0.43304721369139654,0.4355937464714618
1945,1945,,0.40782131505495534,0.4019055319726408
1946,1946,,0.3782582218664799,0.383899069778045
1947,1947,,0.3453532458880345,0.348259494677111
1948,1948,,0.3085534613117257,0.3139382133365411
1949,1949,,0.2686474271400391,0.2598143698458381
1950,1950,,0.22684897782394078,0.2272956190015955
1951,1951,,0.18281768193321454,0.1717601513282032
1952,1952,,0.13656897053572312,0.1414539886163198
1953,1953,,0.08798822210856039,0.0873682598525099
1954,1954,,0.038283537062609355,0.0340777115870077
1955,1955,,-0.011011695512367062,0.0
1956,1956,,-0.06018684497109537,-0.0518054567910011
1957,1957,,-0.109390321513327,-0.1208144900642859
1958,1958,,-0.1574096300129478,-0.1551531752429621
1959,1959,,-0.20314491939358234,-0.1926174392158195
1960,1960,,-0.24691431946310807,-0.2439568651173516
1961,1961,,-0.2882259084110166,-0.2964276383529542
1962,1962,,-0.3260842351842348,-0.3321835626818555
1963,1963,,-0.36038349109888457,-0.3663166421886339
1964,1964,,-0.39231952283491983,-0.401658167806286
1965,1965,,-0.4199005789353797,-0.4187495947898773
1966,1966,,-0.443169404728295,-0.4369735881236625
1967,1967,,-0.45965713804697783,-0.4542243846032863
1968,1968,,-0.47322589949853017,-0.4712041402315829
1969,1969,,-0.483733043427533,-0.4890979090598522
1970,1970,,-0.4899676700734865,-0.4884732074264843
1971,1971,,-0.49200329517905816,-0.488780057157585
1972,1972,,-0.4906272243761696,-0.488773603008826
1973,1973,,-0.4848364667462034,-0.4880982187583746
1974,1974,,-0.4749520430482135,-0.4708813787930019
1975,1975,,-0.461527601896669,-0.4542102171483289
1976,1976,,-0.44400003357196,-0.4533739978632324
1977,1977,,-0.42235477073002203,-0.4189563173184099
1978,1978,,-0.39587353955968707,-0.3841372234868799
1979,1979,,-0.36544838497809085,-0.3661975894163491
1980,1980,,-0.33056654841007116,-0.3489094310470316
1981,1981,,-0.2920581288283353,-0.3137507250567555
1982,1982,,-0.2509584655250482,-0.2438416539522535
1983,1983,,-0.20708518118394215,-0.1915289604877007
1984,1984,,-0.15974479433395228,-0.1592945665360775
1985,1985,,-0.11020195378062171,-0.1205203307691654
1986,1986,,-0.060268467904733475,-0.0529806759041031
1987,1987,,-0.009298821426715894,0.0
1988,1988,,0.04138093363127421,0.0349507965306527
1989,1989,,0.09179898834751267,0.0885053814546976
1990,1990,,0.14064442788086332,0.1414727864921576
1991,1991,,0.18664744799368682,0.1916003896967686
1992,1992,,0.23132292782860353,0.2250382864926051
1993,1993,,0.27291497909805734,0.2767676801193509
1994,1994,,0.3106988226435918,0.3138570748007829
1995,1995,,0.34550501047807036,0.347816236001962
1996,1996,,0.3773599297847498,0.3836659242606062
1997,1997,,0.4064771907796062,0.4014344635923827
1998,1998,,0.4300564773471315,0.4188500138398306
1999,1999,,0.44932637711847323,0.4537296144934981
2000,2000,,0.46576812268466555,0.4704042629365914
2001,2001,,0.4783676643681909,0.4715929582622953
2002,2002,,0.48622484635179397,0.4878364386596424
2003,2003,,0.4888784000146209,0.4885473390138179
2004,2004,,0.48785443077389423,0.4885043668693434
2005,2005,,0.4830575771237223,0.4883339510564055
2006,2006,,0.4733825463137344,0.47177751118075
2007,2007,,0.4580208871536253,0.4535194006011151
2008,2008,,0.44033391933083377,0.4359959131851294
2009,2009,,0.4177548376785572,0.4186720372857056
2010,2010,,0.39178928137948116,0.4012767997728242
2011,2011,,0.3619764665275357,0.3664967858512578
2012,2012,,0.32780000514582563,0.3310598277463055
2013,2013,,0.290480974429962,0.2809568715287768
2014,2014,,0.2506350689643305,0.2426164627961495
2015,2015,,0.20792695341135964,0.212023565512566
2016,2016,,0.16201706072931518,0.1594733694486595
2017,2017,,0.11610291418522901,0.1206236685801027
2018,2018,,0.06800009974662513,0.0697396583875988
2019,2019,,0.01892463376265577,0.0173593671661885
2020,2020,,-0.029976422395335548,-0.0203361791756877
2021,2021,,-0.07898164653447877,-0.0693331336882085
2022,2022,,-0.12704094409722633,-0.1392208790126556
2023,2023,,-0.17282924994565457,-0.1744111024084286
2024,2024,,-0.21721180020506514,-0.2272209670663827
2025,2025,,-0.2590480921431533,-0.2610145362493518
2026,2026,,-0.2981957603436372,-0.2966355797054842
2027,2027,,-0.3350862352079292,-0.3322764814283676
2028,2028,,-0.3692594297303423,-0.3666183811813978
2029,2029,,-0.3984664970224852,-0.4008817082703331
2030,2030,,-0.4233728681846062,-0.4182243295792291
2031,2031,,-0.44353273953338956,-0.4536604254618908
2032,2032,,-0.460584653577367,-0.4542075657572103
2033,2033,,-0.47461057479068197,-0.4714905854386318
2034,2034,,-0.4845246206170505,-0.4881119606944339
2035,2035,,-0.4886949280113304,-0.4887368775535274
2036,2036,,-0.4900475784539158,-0.4883763356114483
2037,2037,,-0.4880361945879915,-0.4883763356114483
2038,2038,,-0.4788450075950057,-0.4708813787930019
2039,2039,,-0.4666443935754786,-0.4705400903185564
2040,2040,,-0.44896909924214723,-0.4534926414797514
2041,2041,,-0.42690618383371465,-0.4192062091173004
2042,2042,,-0.40146399564855006,-0.4016091958672463
2043,2043,,-0.37238732116227163,-0.3836328700517157
2044,2044,,-0.33951275376313045,-0.348771003583907
2045,2045,,-0.3025976910584153,-0.3138943748375993
2046,2046,,-0.2629048554227115,-0.242943387782459
2047,2047,,-0.21996656186675054,-0.21026034715968
2048,2048,,-0.17511735544420093,-0.1748203691064293
2049,2049,,-0.12897301875224293,-0.1378484937281356
2050,2050,,-0.08120828834659902,-0.0730405653031193
2051,2051,,-0.03347656103860143,-0.0336951073460163
2052,2052,,0.014988988290247762,0.0
2053,2053,,0.06302481057481053,0.0706219073058545
2054,2054,,0.10891300696213461,0.1048769387302338
2055,2055,,0.15488605649726683,0.1551076681575403
2056,2056,,0.19920195754335757,0.2079331620322151
2057,2057,,0.2406505135986987,0.2442885321115158
2058,2058,,0.2799762092204674,0.2792541607833252
2059,2059,,0.31759546047751436,0.3139887439074935
2060,2060,,0.35189515080427775,0.3490475267587189
2061,2061,,0.3842813134097444,0.3835452656508077
2062,2062,,0.41063866600307336,0.4023526465874391
2063,2063,,0.4328670635249551,0.4362154677824572
2064,2064,,0.4504201986942696,0.4529791586156506
2065,2065,,0.46441441481410706,0.4703141769046743
2066,2066,,0.47331032693916614,0.4712441479547916
2067,2067,,0.479077868666784,0.4883339510564055
2068,2068,,0.48158138477067775,0.4876293040250904
2069,2069,,0.4790339735462253,0.4712375960770235
2070,2070,,0.47154452369620553,0.4708938589807033
2071,2071,,0.46051688287487924,0.4537957110058049
2072,2072,,0.44410198864690764,0.4366985323064613
2073,2073,,0.42378825866198366,0.4186779471484785
2074,2074,,0.39903032840726865,0.4017549301383433
2075,2075,,0.37087006914779014,0.3654793304775748
2076,2076,,0.3390567783814051,0.3479225874978803
2077,2077,,0.30346310666807563,0.3129012278803845
2078,2078,,0.2651962054539922,0.2794339597890503
2079,2079,,0.22411222313403775,0.2265713167722605
2080,2080,,0.17997472097377054,0.1742704312516329
2081,2081,,0.13402508761433868,0.122244550968832
2082,2082,,0.08711969376727517,0.0856111249827095
2083,2083,,0.03910924198794993,0.0353209932115869
2084,2084,,-0.010399912721390939,0.0
2085,2085,,-0.05880732968888354,-0.0686419890898341
2086,2086,,-0.10632012659226377,-0.1041964352626338
2087,2087,,-0.15308135999949912,-0.1555948279770297
2088,2088,,-0.197652725887964,-0.1935751390865939
2089,2089,,-0.24068986911461251,-0.2436488766766568
