k,Easting,Northing
1-EAPEBPYXPA,836445,820394
1-EAPEBPYXPB,836061,819899
1-EAPEGPKXSD,836922,819489
1-EAPEPPPRPG,837012,818964
1-EAPEWPPXPS,836300,820783
1-EAPGBPDXPS,836554,820816
1-EAPGGPBJPB,836074,820018
1-EAPGPPDXPE,836046,820639
1-EAPKPPDXPA,837226,820857
1-EAPKWPBEPB,836063,820044
1-EAPPGPEXPB,836091,819744
1-EAPPWAPXPA,836166,820657
1-EAPPWAPXPB,836246,819660
1-EAPPWAPXPE,836115,819865
1-EAPPWAPXPS,836844,820868
1-EAPPWBPXPA,837258,820752
1-EAPPWBPXPB,836110,820120
1-EAPPWEPXPA,837210,820851
1-EAPPWEPXPB,836151,819796
1-EAPPWEPXPE,836375,820555
1-EAPPWEPXPG,836517,819422
1-EAPPWEPXPS,837489,820896
1-EAPPWGPXPB,836009,820050
1-EAPPWGPXPS,836931,820807
1-EAPPWKPXPA,837686,821012
1-EAPPWKPXPB,836046,819945
1-EAPPWKPXPS,836117,820648
1-EAPPWSPXPA,837233,820727
1-EAPPWSPXPB,836131,820034
1-EAPPWSPXPE,836171,820310
1-EAPPWSPXPG,836468,819718
1-EAPPWSPXPK,836614,820341
1-EAPPWSPXPS,836666,820824
1-EAPPWWPXPA,836071,820111
1-EAPSBPDEPK,836540,820089
1-EAPSPPBYPS,836226,820778
1-EAPWGPBXPB,836068,820027
1-EAPWGPEXPB,836099,819728
1-EAPWWPAXPA,836626,820748
1-EAPWWPAXPS,837021,820888
1-EAPYGPBYPG,836977,818996
1-EAPYPPDXPE,836069,820641
1-EAPYPPYSPA,837465,820900
1-EAPYWPSXPS,836282,820846
1-EASEGPDXPK,837035,820086
1-EASGWPDRPB,836038,820048
1-EASPGPDXPK,836991,820111
1-EASSWPBXPS,836102,820716
1-EASWPPSJPA,837423,820857
1-EASYBPEHPB,836085,819763
1-EASYGPBXPG,836973,818999
1-EASYGPBYPG,836970,819003
1-EASYGPDVPB,836066,819973
1-EASYPPWJPB,836142,820021
1-EASYPPWRPA,836452,820589
1-EAWAWPSYPE,836287,820637
1-EAWBPPYVPE,836279,820685
1-EAWDGPBJPG,837000,818972
1-EAWDGPBOPG,836986,818982
1-EAWEGPBEPB,836077,820013
1-EAWGGPASPB,836137,820124
1-EAWPBPKYPB,835953,820012
1-EAWPWPGXPS,836463,820785
1-EAWSPPPYPG,837007,818960
1-EAWYBPPXPS,836316,820819
1-EAWYBPYXPA,836446,820472
1-EAYBWPGOPK,836481,820211
1-EAYDGPGXPS,836296,820757
1-EAYDGPKOPB,835938,820043
1-EAYDPPAOPB,836123,819658
1-EAYEBPPVPB,836085,820121
1-EAYEWPKXPA,836784,820778
1-EAYEWPWRPK,836260,820088
1-EAYKBPSSPA,837263,820841
1-EAYKPPGYPS,836121,820720
1-EAYSBPDXPS,836542,820806
1-EAYSPPPAPG,837004,818957
1-EAYWBPBXPB,836079,820008
1-EAYWPPAXPA,836467,820718
1-EAYYBPDAPB,836073,819952
